N_Rodovias, Tempo
8255,1
8379,1
8313,1
8290,1
8442,1
8395,1
8343,1
8461,1
8347,1
8467,1
8371,1
8489,1
8366,1
8495,1
8457,1
8333,1
8244,1
8353,1
8309,1
8321,2
8426,2
8441,2
8375,2
8446,2
8547,2
8368,2
8416,2
8335,2
8558,2
8482,2
8470,2
8440,2
8380,2
8392,2
8539,2
8229,2
8341,2
8435,2
8548,2
8412,2
8441,2
8357,2
8357,2
8298,2
8301,2
8416,2
8420,2
8411,3
8399,3
8363,3
8531,3
8518,3
8303,3
8396,3
8373,3
8422,3
8555,3
8533,3
8423,3
8447,3
8390,3
8338,3
8569,3
8513,3
8303,3
8452,3
8422,3
8423,3
8274,3
8524,3
8307,3
8380,3
8353,3
8414,3
8588,3
8561,3
8450,3
8486,3
8399,3
8280,3
8479,3
8622,3
8331,3
8406,3
8250,3
8315,3
8369,3
8390,3
8455,3
8375,3
8407,3
8452,3
8489,4
8347,4
8372,4
8418,4
8356,4
8425,4
8451,4
8296,4
8492,4
8562,4
8374,4
8434,4
8574,4
8420,4
8456,4
8333,4
8408,4
8521,4
8558,4
8435,4
8501,4
8614,4
8650,4
8527,4
8578,4
8420,4
8446,4
8422,4
8713,4
8554,4
8580,4
8556,4
8455,4
8314,4
8318,4
8337,4
8564,4
8424,4
8429,4
8447,4
8371,4
8539,4
8544,4
8337,4
8384,4
8506,4
8529,4
8561,4
8335,4
8371,4
8380,4
8278,4
8553,4
8589,4
8597,4
8494,4
8484,4
8487,4
8491,4
8483,4
8468,4
8431,4
8434,4
8451,4
8376,5
8430,5
8572,5
8574,5
8415,5
8395,5
8635,5
8557,5
8559,5
8624,5
8390,5
8552,5
8736,5
8739,5
8565,5
8442,5
8523,5
8685,5
8689,5
8535,5
8466,5
8714,5
8516,5
8538,5
8723,5
8715,5
8648,5
8765,5
8787,5
8661,5
8683,5
8495,5
8675,5
8695,5
8507,5
8592,5
8720,5
8583,5
8604,5
8734,5
8448,5
8324,5
8423,5
8427,5
8603,5
8436,5
8474,5
8575,5
8390,5
8491,5
8406,6
8439,6
8506,6
8569,6
8598,6
8444,6
8384,6
8428,6
8448,6
8455,6
8550,6
8421,6
8419,6
8368,6
8683,6
8692,6
8495,6
8662,6
8456,6
8383,6
8538,6
8545,6
8462,6
8555,6
8478,6
8585,6
8485,6
8493,6
8487,6
8501,6
8485,6
8535,6
8689,6
8698,6
8692,6
8707,6
8452,6
8777,6
8601,6
8609,6
8616,6
8677,6
8422,6
8329,6
8478,6
8485,6
8488,6
8531,6
8344,6
8498,6
8650,6
8658,6
8664,6
8441,6
8608,6
8563,6
8588,6
8595,6
8583,6
8700,6
8410,6
8541,6
8580,6
8588,6
8553,6
8436,6
8581,7
8301,7
8460,7
8516,7
8519,7
8457,7
8597,7
8572,7
8473,7
8632,7
8690,7
8695,7
8636,7
8583,7
8467,7
8316,7
8589,7
8609,7
8644,7
8612,7
8506,7
8739,7
8588,7
8556,7
8878,7
8912,7
8879,7
8774,7
8737,7
8332,7
8416,7
8749,7
8763,7
8413,7
8427,7
8640,7
8594,7
8677,7
8656,7
8658,7
8669,7
8682,7
8613,7
8356,7
8338,7
8631,7
8638,7
8647,7
8380,7
8539,7
8412,7
8573,7
8553,7
8561,7
8570,7
8614,7
8577,8
8370,8
8408,8
8643,8
8477,8
8459,8
8490,8
8654,8
8421,8
8458,8
8461,8
8566,8
8456,8
8458,8
8575,8
8657,8
8556,8
8407,8
8585,8
8695,8
8591,8
8580,8
8681,8
8738,8
8603,8
8523,8
8664,8
8517,8
8622,8
8616,8
8706,8
8756,8
8663,8
8653,8
8725,8
