N_Rodovias, Tempo
484,1
520,1
538,1
542,1
545,1
547,1
551,1
555,1
558,1
562,1
565,1
569,1
572,1
576,1
608,1
611,1
614,1
619,1
427,1
430,1
433,1
436,1
441,1
444,1
447,1
450,1
453,1
457,1
460,1
464,1
466,1
469,1
475,1
478,1
481,1
483,1
486,1
490,1
494,1
497,1
500,1
503,1
507,1
511,1
514,1
516,1
519,1
524,1
527,1
530,1
534,1
537,1
541,1
544,1
547,1
550,1
553,1
557,1
561,1
564,1
566,1
569,1
573,1
577,1
580,1
582,1
585,1
589,1
593,1
596,1
598,1
601,1
604,1
608,1
612,1
615,1
617,1
620,1
625,1
628,1
631,1
634,1
637,1
641,1
645,1
648,1
651,1
655,1
660,1
664,1
669,1
674,1
679,1
682,1
690,1
693,1
697,1
700,1
705,1
710,1
713,1
716,1
718,1
723,1
457,1
460,1
464,1
470,1
475,1
478,1
483,1
487,1
491,1
495,1
500,1
504,1
508,1
512,1
516,1
521,1
525,1
528,1
533,1
537,1
541,1
544,1
549,1
554,1
558,1
562,1
566,1
571,1
575,1
578,1
584,1
589,1
421,1
426,1
432,1
436,1
489,1
558,1
429,1
434,1
441,1
457,1
477,1
493,1
497,1
502,1
507,1
511,1
517,1
522,1
527,1
532,1
537,1
543,1
549,1
554,1
560,1
566,1
571,1
577,1
583,1
587,1
593,1
599,1
603,1
609,1
615,1
619,1
624,1
630,1
635,1
640,1
645,1
650,1
656,1
661,1
666,1
671,1
679,1
684,1
690,1
696,1
701,1
706,1
713,1
718,1
475,1
481,1
486,1
493,1
499,1
506,1
512,1
517,1
523,1
530,1
535,1
541,1
547,1
552,1
558,1
564,1
569,1
576,1
582,1
592,1
597,1
603,1
610,1
615,1
620,1
628,1
633,1
640,1
459,1
465,1
472,1
478,1
484,1
491,1
497,1
504,1
511,1
517,1
524,1
605,1
458,1
467,1
476,1
485,1
502,1
519,1
532,1
540,1
548,1
556,1
565,1
573,1
581,1
590,1
453,1
464,1
474,1
485,1
495,1
505,1
515,1
524,1
535,1
546,1
555,1
565,1
574,1
585,1
594,1
604,1
455,1
464,1
474,1
484,1
493,1
505,1
515,1
526,1
537,1
549,1
560,1
571,1
580,1
591,1
602,1
612,1
623,1
710,1
584,1
596,1
626,1
648,1
660,1
672,1
683,1
694,1
706,1
718,1
728,1
739,1
749,1
760,1
773,1
470,1
483,1
495,1
590,2
504,2
600,2
515,2
613,2
529,2
628,2
544,2
643,2
558,2
657,2
573,2
672,2
587,2
686,2
601,2
701,2
617,2
717,2
632,2
732,2
468,2
442,2
484,2
459,2
502,2
477,2
519,2
496,2
539,2
513,2
556,2
530,2
573,2
646,2
689,2
688,2
569,2
574,2
601,2
595,2
622,2
614,2
641,2
633,2
660,2
652,2
679,2
675,2
703,2
695,2
571,2
714,2
590,2
734,2
610,2
752,2
628,2
773,2
649,2
792,2
669,2
812,2
688,2
831,2
707,2
471,2
728,2
491,2
486,2
511,2
506,2
531,2
526,2
552,2
547,2
571,2
566,2
590,2
584,2
611,2
606,2
554,2
723,2
600,2
585,2
472,2
611,2
495,2
448,2
519,2
471,2
545,2
497,2
571,2
524,2
599,2
552,2
455,2
578,2
483,2
467,2
510,2
494,2
539,2
523,2
569,2
553,2
453,2
582,2
481,2
451,2
509,2
479,2
536,2
506,2
564,2
534,2
670,2
641,2
571,2
549,2
640,2
618,2
509,2
483,2
538,2
512,2
567,2
540,2
454,2
569,2
483,2
599,2
509,2
477,2
540,2
508,2
570,2
538,2
463,2
573,2
496,2
606,2
527,2
480,2
555,2
508,2
584,2
537,2
619,2
572,2
492,2
604,2
526,2
477,2
557,2
508,2
586,2
537,2
572,3
604,3
553,3
684,3
716,3
666,3
742,3
616,3
566,3
505,3
678,3
626,3
549,3
500,3
514,3
597,3
547,3
562,3
640,3
591,3
606,3
539,3
651,3
666,3
590,3
533,3
542,3
634,3
578,3
588,3
676,3
619,3
628,3
509,3
660,3
670,3
555,3
705,3
496,3
720,3
658,3
661,3
649,3
573,3
595,3
542,3
469,3
484,3
594,3
520,3
536,3
502,3
564,3
580,3
550,3
613,3
628,3
597,3
517,3
521,3
497,3
566,3
571,3
568,3
636,3
641,3
485,3
525,3
523,3
538,3
578,3
576,3
743,3
646,3
638,3
531,3
574,3
577,3
587,3
630,3
635,3
638,3
516,3
501,3
523,3
566,3
552,3
583,3
481,3
614,3
472,3
536,3
504,3
539,3
601,3
570,3
583,4
493,4
513,4
615,4
617,4
672,4
692,4
648,4
551,4
621,4
598,4
752,4
611,4
493,4
659,4
656,4
502,4
557,4
503,4
720,4
560,4
615,4
561,4
536,4
623,4
537,4
485,4
599,4
528,4
598,4
546,4
660,4
613,4
529,4
631,4
597,4
535,4
617,4
567,4
685,4
742,4
672,4
774,4
712,4
575,4
644,4
591,4
690,4
506,4
572,4
514,4
626,4
589,4
658,4
600,4
547,4
512,4
580,4
527,4
627,4
609,4
678,4
625,4
571,4
612,4
684,4
644,4
767,4
621,4
681,4
637,4
547,4
524,4
577,4
732,4
641,4
634,4
516,4
664,4
606,4
584,4
625,4
775,4
720,4
510,4
600,4
670,4
641,4
629,4
720,4
585,4
764,4
589,4
640,4
531,4
678,4
620,4
692,4
739,4
705,4
582,4
657,4
712,4
673,4
685,5
601,5
653,5
678,5
603,5
625,5
533,5
589,5
576,5
719,5
622,5
747,5
809,5
798,5
764,5
686,5
619,5
632,5
641,5
628,5
659,5
594,5
619,5
633,5
770,5
635,5
721,5
746,5
761,5
740,5
750,5
654,5
664,5
670,5
626,5
945,5
856,5
872,5
883,5
839,5
789,5
699,5
709,5
808,5
715,5
657,5
864,5
873,5
971,5
877,5
637,5
719,5
719,5
733,5
742,5
771,5
605,5
854,5
868,5
875,5
594,5
573,5
613,5
619,5
628,5
877,5
860,5
904,5
736,5
926,5
833,6
831,6
557,6
698,6
883,6
866,6
964,6
964,6
693,6
835,6
1020,6
1007,6
851,6
853,6
674,6
729,6
687,6
876,6
653,6
1105,6
925,6
678,6
673,6
701,6
861,6
872,6
862,6
882,6
876,6
905,6
874,6
882,6
893,6
913,6
917,6
926,6
742,6
765,6
773,6
774,6
774,6
799,6
688,6
783,6
780,6
718,6
722,6
816,6
835,6
820,6
899,6
878,6
884,6
929,6
645,7
650,7
674,7
682,7
689,7
1006,7
831,7
592,7
813,7
626,7
622,7
853,7
680,7
659,7
754,7
548,7
572,7
791,7
578,7
671,7
645,7
786,7
788,7
809,7
814,7
670,7
765,7
728,7
607,7
623,7
621,7
629,7
666,7
590,7
658,7
613,7
640,7
650,7
670,7
708,7
628,7
662,7
591,7
635,7
630,7
646,7
679,7
618,7
644,7
716,7
748,7
721,7
772,7
786,7
762,7
952,7
733,7
771,7
741,7
785,7
628,7
791,7
747,7
669,7
718,7
711,7
751,7
813,7
721,7
748,7
854,7
693,7
694,7
738,7
824,7
689,7
729,7
972,7
1012,7
856,7
803,7
914,7
842,7
1035,7
695,7
677,7
592,7
736,7
680,7
775,7
657,7
720,7
743,7
616,7
773,7
752,7
793,7
669,7
740,7
920,7
790,7
779,7
938,7
817,7
859,7
764,8
699,8
793,8
791,8
764,8
711,8
814,8
817,8
794,8
753,8
