N_Rodovias, Tempo
8147,1
8296,1
8241,1
8205,1
8137,1
8261,1
8226,1
8149,1
8273,1
8195,1
8323,1
8248,1
8203,1
8364,1
8290,1
8185,1
8170,1
8156,1
8316,1
8319,2
8235,2
8284,2
8200,2
8447,2
8184,2
8376,2
8347,2
8248,2
8312,2
8404,2
8291,2
8334,2
8247,2
8280,2
8236,2
8243,2
8225,2
8236,2
8239,2
8241,2
8261,2
8254,3
8265,3
8288,3
8272,3
8288,3
8313,3
8237,3
8308,3
8267,3
8448,3
8371,3
8478,3
8447,3
8184,3
8466,3
8342,3
8152,3
8329,3
8371,3
8400,3
8343,3
8172,3
8203,3
8284,3
8147,3
8200,3
8239,3
8366,3
8418,3
8281,3
8357,4
8381,4
8261,4
8446,4
8377,4
8379,4
8280,4
8416,4
8240,4
8243,4
8259,4
8262,4
8414,4
8417,4
8267,4
8438,4
8344,4
8347,4
8271,4
8371,4
8333,4
8337,4
8348,4
8351,4
8528,4
8532,4
8348,4
8548,4
8544,4
8548,4
8398,4
8554,4
8391,4
8410,4
8322,4
8405,4
8462,4
8480,4
8409,4
8475,4
8234,5
8343,5
8364,5
8347,5
8338,5
8244,5
8350,5
8388,5
8379,5
8353,5
8239,5
8535,5
8574,5
8234,5
8544,5
8326,5
8445,5
8454,5
8288,5
8464,5
8219,5
8368,5
8372,5
8268,5
8341,5
8409,5
8385,5
8393,5
8460,5
8367,5
8483,5
8642,5
8650,5
8482,5
8624,5
8219,5
8488,5
8511,5
8378,5
8505,5
8263,5
8421,5
8411,5
8352,5
8419,5
8261,5
8414,5
8419,5
8407,5
8434,5
8337,6
8429,6
8275,6
8232,6
8437,6
8443,6
8391,6
8429,6
8362,6
8478,6
8437,6
8438,6
8380,6
8406,6
8259,6
8506,6
8487,6
8407,6
8426,6
8465,6
8373,6
8310,6
8549,6
8387,6
8527,6
8534,6
8463,6
8590,6
8582,6
8467,6
8556,6
8533,6
8210,6
8585,6
8575,6
8423,6
8444,6
8450,6
8331,6
8301,6
8464,6
8364,6
8434,6
8449,6
8331,6
8314,6
8461,6
8333,6
8386,7
8391,7
8317,7
8214,7
8273,7
8433,7
8288,7
8594,7
8601,7
8528,7
8223,7
8487,7
8429,7
8506,7
8560,7
8567,7
8552,7
8278,7
8518,7
8345,7
8540,7
8368,7
8363,7
8407,7
8252,7
8386,7
8531,7
8424,7
8584,7
8580,7
8626,7
8317,7
8608,7
8455,7
8649,7
8535,7
8512,7
8548,7
8290,7
8540,7
8403,7
8568,7
8407,7
8387,7
8435,7
8282,7
8393,7
8619,7
8409,7
8714,7
8696,7
8456,7
8356,7
8399,7
8588,7
8415,7
8579,7
8585,7
8472,7
8404,7
8442,7
8489,7
8456,7
8482,7
8505,7
8440,7
8380,7
8391,7
8400,7
8404,7
8505,8
8458,8
8510,8
8496,8
8389,8
8653,8
8660,8
8662,8
8437,8
8248,8
8477,8
8460,8
8324,8
8605,8
8602,8
8616,8
8714,8
8526,8
8760,8
8745,8
8611,8
8553,8
8533,8
8540,8
8599,8
8533,8
8628,8
8618,8
8612,8
8788,8
8769,8
8778,8
8512,8
8561,8
8525,8
8531,8
8546,8
8744,8
8707,8
8745,8
8839,8
8379,8
8854,8
8860,8
8479,8
8653,8
8614,8
8643,8
8347,8
8436,8
8738,8
8378,8
8512,8
8565,8
8580,8
8570,8
8398,9
8555,9
8665,9
8402,9
8549,9
8575,9
8565,9
8580,9
8444,9
8470,9
8644,9
8654,9
8511,9
8595,9
8667,9
8610,9
8622,9
8352,9
8441,9
8390,9
8668,9
8479,9
8572,9
8705,9
8500,9
8514,9
8513,9
8546,9
8502,9
8681,9
8857,9
8715,9
8726,9
8561,9
8883,9
8449,9
8561,9
8554,9
8675,9
8516,9
8737,9
8751,9
8941,9
8550,9
8636,9
8616,9
8713,9
8724,9
8539,9
8757,9
8478,9
8551,9
8610,9
8473,9
8736,10
8730,10
8701,10
8642,10
8788,10
8862,10
8934,10
8438,10
8759,10
8620,10
8463,10
8475,10
8702,10
8513,10
8522,10
8951,10
8966,10
8452,10
8544,10
8463,10
8534,10
8545,10
8724,10
8629,10
8640,10
8560,10
8590,10
8468,10
8743,10
8623,10
8711,10
8717,10
8728,10
8752,10
8755,10
8963,10
8661,10
8685,10
8832,10
8566,10
8739,10
8765,10
8767,10
8796,10
8547,10
9052,10
8821,10
8604,10
8862,10
8677,10
8681,11
8760,11
8769,11
8320,11
8778,11
8609,11
8588,11
8751,11
8655,11
8569,11
8567,11
8741,11
8757,11
8769,11
8486,11
8796,11
8617,11
8753,11
8779,11
8802,11
8981,11
8983,11
8683,11
8414,11
8415,11
8434,11
8720,11
8734,11
8748,11
8786,11
8521,11
8582,11
8577,11
8647,11
8525,11
8817,11
8372,11
8710,11
8725,11
8681,11
8753,11
8608,11
8613,11
8640,11
8685,11
8661,11
8472,11
8592,11
8732,11
8737,11
8761,11
8786,11
8743,11
8736,11
8708,11
8591,12
8615,12
8571,12
8629,12
8402,12
8393,12
8411,12
8643,12
8670,12
8679,12
8871,12
8682,12
8617,12
8718,12
8680,12
8442,12
8460,12
8559,12
8573,12
8667,12
8776,12
8502,12
8831,12
8822,12
8710,12
8467,12
8434,12
8593,12
8469,12
8633,12
8663,12
8669,12
8848,12
8697,12
8891,12
8591,12
8797,12
8594,12
8586,12
8652,12
8481,12
8687,12
8785,12
8678,12
8914,12
8510,12
8953,12
8731,12
8793,12
8588,12
8556,12
8807,12
8709,12
8824,12
8497,12
8818,12
8897,12
8727,12
8933,12
8761,12
8849,13
8613,13
8599,13
8846,13
8520,13
8478,13
8879,13
8626,13
8481,13
8923,13
8722,13
8928,13
8727,13
8867,13
8597,13
8597,13
8884,13
8532,13
8653,13
8839,13
8698,13
8674,13
8966,13
8903,13
8921,13
8930,13
8818,13
8615,13
8637,13
8859,13
8569,13
8721,13
8860,13
8731,13
9163,13
8932,13
8596,13
8959,13
9019,13
8901,13
8665,13
8707,13
8952,13
8591,13
8928,13
8961,13
8888,13
8762,13
9045,13
8837,13
9055,13
8829,13
8992,14
8912,14
8985,14
9037,14
8565,14
9061,14
9069,14
9087,14
9355,14
9128,14
9115,14
9135,14
8660,14
9129,14
8962,14
8948,14
8985,14
8755,14
