N_Rodovias, Tempo
7917,1
8053,1
8014,1
7920,1
8038,1
7946,1
8029,1
7976,1
8086,1
7994,1
7908,1
8039,1
7973,1
8105,1
8026,1
8157,1
8027,1
7914,1
7851,1
7947,1
8078,1
8040,2
8001,2
8137,2
7909,2
8047,2
8030,2
8168,2
7948,2
8034,2
8070,2
8182,2
8029,2
8060,2
7934,2
8173,2
8048,2
8055,2
7978,2
8165,2
8088,2
7980,2
7980,2
8101,2
8101,2
7937,2
7972,2
8056,2
7910,2
7995,2
8046,2
7945,2
8006,2
7908,2
7923,2
8027,3
8043,3
7942,3
7998,3
8022,3
8078,3
8134,3
8158,3
8023,3
8030,3
8046,3
7967,3
8213,3
7941,3
7940,3
8041,3
8070,3
7922,3
7990,3
8038,3
8057,3
8126,3
8174,3
8024,3
8115,3
8176,3
8024,3
8040,3
8078,3
8029,3
7986,3
8033,3
7990,3
7981,3
8041,3
8022,3
7955,3
8016,3
7996,3
8128,4
8025,4
8011,4
8031,4
8086,4
8163,4
8149,4
7982,4
8229,4
8130,4
8109,4
8126,4
8160,4
8305,4
8284,4
8105,4
8288,4
8132,4
8136,4
8030,4
8067,4
8270,4
7974,4
7988,4
8187,4
8052,4
8094,4
8108,4
8114,4
8235,4
8042,4
8111,4
8247,4
8159,4
8174,4
8019,4
8136,4
8348,4
8145,4
8210,4
8299,4
8133,4
8309,4
8141,4
8113,4
7984,4
8109,4
8053,4
8082,4
8186,4
8064,4
8077,4
7985,5
8144,5
8210,5
8115,5
8134,5
8023,5
8160,5
8179,5
8090,5
8122,5
7997,5
8139,5
8164,5
8247,5
8118,5
7969,5
8299,5
8323,5
8152,5
8277,5
8176,5
8141,5
8143,5
8358,5
8172,5
8196,5
8342,5
8345,5
8211,5
8375,5
8106,5
8193,5
8263,5
8436,5
8323,5
8113,5
8378,5
8122,5
8256,5
8133,5
8127,5
8377,5
8378,5
8233,5
8389,5
8165,5
8256,5
8281,5
8268,5
8037,5
7966,6
8000,6
7987,6
8012,6
8069,6
8055,6
8238,6
8103,6
8262,6
8289,6
8158,6
8122,6
8310,6
8356,6
8320,6
8358,6
8211,6
8219,6
8049,6
8360,6
8325,6
8348,6
8184,6
8234,6
8045,6
8163,6
8164,6
8198,6
8094,6
8177,6
8219,6
8101,6
8103,6
8131,6
8263,6
8138,6
8184,6
8296,6
8298,6
8325,6
8186,6
8115,6
8408,6
8265,6
8271,6
8297,6
8412,6
8091,6
7950,6
8113,6
8119,6
8145,6
8274,6
8057,6
8144,6
8045,6
8312,6
8113,6
8116,6
8031,6
8191,7
8282,7
8255,7
8352,7
8357,7
8123,7
8273,7
8190,7
8310,7
8206,7
8323,7
8328,7
8033,7
8306,7
8015,7
8148,7
8388,7
8166,7
8175,7
8030,7
7989,7
8021,7
8055,7
8235,7
8086,7
8072,7
8067,7
8004,7
8233,7
8268,7
8106,7
8299,7
8286,7
8121,7
8219,7
8219,7
8223,7
8316,7
8236,7
8245,7
8128,7
8250,7
8249,7
8205,7
8352,7
8213,7
8219,7
8164,7
8251,7
8187,7
8398,7
8220,7
8099,7
8413,7
8142,7
8193,7
8103,7
8258,7
8234,7
8312,7
8262,7
8133,7
8405,7
8115,8
8189,8
8160,8
8027,8
8215,8
8202,8
8141,8
8356,8
8094,8
8072,8
8103,8
8079,8
8191,8
8115,8
8111,8
8249,8
8117,8
8341,8
8151,8
8205,8
8223,8
8391,8
8173,8
8278,8
8150,8
8390,8
8164,8
8107,8
8269,8
8134,8
8157,8
8243,8
8134,8
8328,8
8147,8
8168,8
8298,8
8136,8
8169,8
8291,8
8110,8
8256,8
8141,8
8208,8
8282,8
8411,8
8186,8
8255,8
8146,8
8289,8
8175,8
8287,8
8306,8
8116,8
8197,8
8314,8
8099,8
8264,8
8132,8
8288,8
8283,8
8120,8
8146,8
8308,8
8099,8
8139,8
8112,8
8042,8
8236,8
8083,8
8109,8
8256,8
8045,9
8099,9
8077,9
8050,9
8209,9
8044,9
8145,9
8083,9
8229,9
8267,9
8083,9
8298,9
8270,9
8184,9
8266,9
8008,9
8306,9
8188,9
8213,9
8291,9
8251,9
8257,9
8106,9
8248,9
8051,9
8257,9
8130,9
8175,9
8265,9
8228,9
8235,9
8356,9
8219,9
8148,9
8243,9
8387,9
8457,9
8550,9
8275,9
8298,9
8440,9
8511,9
8252,9
8282,9
8467,9
8457,9
8591,9
8604,9
8275,9
8429,9
8504,9
8398,9
8250,9
8451,9
8167,9
8469,9
8518,9
8357,9
8494,9
8517,9
8215,9
8261,9
8485,9
8546,10
8553,10
8563,10
8356,10
8555,10
8129,10
8577,10
8263,10
8370,10
8518,10
8215,10
